age,descent,sex,area,location,intersection,geojson,date,day_of_week,time,reporting_district,lon,lat
18.0,H,M,Harbor,BROAD                        AV,PACIFIC COAST                HY,"-118.2616, 33.7913",2010-05-06,Thursday,1255,518,33.7913,-118.2616
29.0,W,M,N Hollywood,SHERMAN                      WY,BELLAIRE                     AV,"-118.4094, 34.2012",2010-12-05,Sunday,1810,1512,34.2012,-118.4094
20.0,H,M,Southeast,120TH,BROADWAY,"-118.2782, 33.9237",2010-02-08,Monday,2115,1862,33.9237,-118.2782
37.0,O,F,Wilshire,OLYMPIC                      BL,HAUSER                       BL,"-118.3547, 34.0574",2010-05-08,Saturday,1920,743,34.0574,-118.3547
32.0,H,M,Northeast,EAGLE ROCK                   BL,AVENUE 41,"-118.2271, 34.121",2010-08-10,Tuesday,1100,1136,34.121,-118.2271
71.0,O,M,N Hollywood,WHITSETT                     AV,CHANDLER                     BL,"-118.4052, 34.1684",2010-08-24,Tuesday,1715,1541,34.1684,-118.4052
38.0,H,M,Newton,E  48TH                         ST,COMPTON                      AV,"-118.2478, 34.0002",2010-04-17,Saturday,1730,1367,34.0002,-118.2478
38.0,H,F,Hollenbeck,LORENA                       ST,ATLANTIC                     ST,"-118.2029, 34.0247",2010-10-04,Monday,1820,478,34.0247,-118.2029
37.0,H,M,Southeast,COLDEN                       AV,BROADWAY,"-118.2781, 33.9492",2010-07-04,Sunday,2200,1822,33.9492,-118.2781
50.0,B,M,77th Street,FLORENCE                     AV,MCKINLEY,"-118.2608, 33.9748",2010-01-12,Tuesday,1500,1259,33.9748,-118.2608
22.0,O,M,Wilshire,ARLINGTON                    AV,WASHINGTON                   BL,"-118.3177, 34.0399",2010-03-07,Sunday,1745,779,34.0399,-118.3177
47.0,W,F,Van Nuys,WOODMAN                      AV,MAGNOLIA                     BL,"-118.4312, 34.1649",2010-09-18,Saturday,1925,964,34.1649,-118.4312
62.0,H,F,Newton,SAN PEDRO,43RD,"-118.2715, 34.0057",2010-01-28,Thursday,645,1354,34.0057,-118.2715
